,mouth
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,0.5
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,1
524,0.5
525,1
526,1
527,0
528,1
529,0.5
530,1
531,0.5
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,0.5
542,1
543,1
544,1
545,0
546,0
547,0.5
548,0
549,1
550,0
551,0
552,0.5
553,0.5
554,1
555,1
556,0.5
557,0
558,1
559,0
560,1
561,1
562,1
563,0.5
564,0
565,1
566,0
567,0.5
568,0
569,1
570,0
571,1
572,0.5
573,1
574,1
575,0
576,1
577,0.5
578,0
579,1
580,1
581,0
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,1
591,0.5
592,1
593,0
594,1
595,0.5
596,1
597,1
598,1
599,0.5
600,0.5
601,1
602,1
603,1
604,0
605,0
606,1
607,0.5
608,0
609,1
610,1
611,1
612,1
613,1
614,0.5
615,1
616,0
617,0
618,0
619,1
620,0.5
621,1
622,0.5
623,0
624,1
625,1
626,0
627,1
628,1
629,1
630,0
631,0.5
632,0
633,0
634,0
635,0.5
636,0
637,0.5
638,0
639,1
640,0.5
641,0
642,1
643,1
644,1
645,1
646,1
647,0.5
648,1
649,1
650,1
651,1
652,0.5
653,0
654,1
655,0
656,1
657,1
658,1
659,0
660,0
661,1
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,1
673,0
674,0.5
675,1
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,0.5
684,1
685,0
686,0
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,0.5
702,0
703,0.5
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,0.5
712,0
713,0
714,1
715,0
716,1
717,0.5
718,1
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,0
731,0
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,0.5
740,1
741,0
742,1
743,1
744,0.5
745,0
746,1
747,1
748,0
749,0
750,1
751,0
752,0
753,0.5
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,0
763,0.5
764,0
765,1
766,1
767,1
768,1
769,1
770,1
771,0.5
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,1
780,1
781,0
782,1
783,0
784,1
785,1
786,0.5
787,1
788,0
789,1
790,1
791,0
792,0
793,1
794,1
795,0.5
796,1
797,0
798,0
799,1
800,1
801,1
802,0.5
803,1
804,0.5
805,1
806,1
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,0.5
820,0
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,0.5
829,0.5
830,1
831,1
832,1
833,0.5
834,1
835,1
836,1
837,0.5
838,1
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,1
847,0
848,1
849,0
850,0
851,1
852,0
853,1
854,0.5
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,0
867,1
868,1
869,0
870,1
871,0
872,1
873,1
874,0
875,0.5
876,1
877,1
878,0
879,0.5
880,1
881,1
882,0
883,0
884,0
885,1
886,1
887,0.5
888,1
889,0.5
890,0
891,0
892,1
893,0.5
894,0
895,1
896,0
897,1
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,1
906,0
907,1
908,0
909,0.5
910,0.5
911,0
912,1
913,1
914,0.5
915,1
916,0
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,0
925,0.5
926,0.5
927,0.5
928,1
929,0
930,0
931,1
932,1
933,1
934,1
935,0
936,1
937,1
938,1
939,0
940,1
941,0
942,0
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,1
964,0
965,0
966,0
967,0
968,0
969,0
970,0.5
971,0.5
972,1
973,0
974,0.5
975,1
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,1
985,0.5
986,1
987,1
988,0
989,0.5
990,1
991,1
992,1
993,0
994,0
995,1
996,0
997,1
998,0.5
999,0
